customer_id,purchase_amount,quantity
170,269,10
171,270,1
172,271,2
173,272,3
174,273,4
175,274,5
176,275,6
177,276,7
178,277,8
179,278,9
180,279,10
181,280,1
182,281,2
183,282,3
184,283,4
185,284,5
186,285,6
187,286,7
188,287,8
189,288,9
190,289,10
191,290,1
192,291,2
193,292,3
194,293,4
195,294,5
196,295,6
197,296,7
198,297,8
199,298,9
200,299,10
201,300,1
202,301,2
203,302,3
204,303,4
205,304,5
206,305,6
207,306,7
208,307,8
209,308,9
210,309,10
211,310,1
212,311,2
213,312,3
214,313,4
215,314,5
216,315,6
217,316,7
218,317,8
219,318,9
220,319,10
221,320,1
222,321,2
223,322,3
224,323,4
225,324,5
226,325,6
227,326,7
228,327,8
229,328,9
230,329,10
231,330,1
232,331,2
233,332,3
234,333,4
235,334,5
236,335,6
237,336,7
238,337,8
239,338,9
240,339,10
241,340,1
242,341,2
243,342,3
244,343,4
245,344,5
246,345,6
247,346,7
248,347,8
249,348,9
250,349,10
251,350,1
252,351,2
253,352,3
254,353,4
255,354,5
256,355,6
257,356,7
258,357,8
259,358,9
260,359,10
261,360,1
262,361,2
263,362,3
264,363,4
265,364,5
266,365,6
267,366,7
268,367,8
269,368,9
270,369,10
271,370,1
272,371,2
273,372,3
274,373,4
275,374,5
276,375,6
277,376,7
278,377,8
279,378,9
280,379,10
281,380,1
282,381,2
283,382,3
284,383,4
285,384,5
286,385,6
287,386,7
288,387,8
289,388,9
290,389,10
291,390,1
292,391,2
293,392,3
294,393,4
295,394,5
296,395,6
297,396,7
298,397,8
299,398,9
300,399,10
301,400,1
302,401,2
303,402,3
304,403,4
305,404,5
306,405,6
307,406,7
308,407,8
309,408,9
310,409,10
311,410,1
312,411,2
313,412,3
314,413,4
315,414,5
316,415,6
317,416,7
318,417,8
319,418,9
320,419,10
321,420,1
322,421,2
323,422,3
324,423,4
325,424,5
326,425,6
327,426,7
328,427,8
329,428,9
330,429,10
331,430,1
332,431,2
333,432,3
334,433,4
335,434,5
336,435,6
337,436,7
338,437,8
339,438,9
340,439,10
341,440,1
342,441,2
343,442,3
344,443,4
345,444,5
346,445,6
347,446,7
348,447,8
349,448,9
350,449,10
351,450,1
352,451,2
353,452,3
354,453,4
355,454,5
356,455,6
357,456,7
358,457,8
359,458,9
360,459,10
361,460,1
362,461,2
363,462,3
364,463,4
365,464,5
366,465,6
367,466,7
368,467,8
369,468,9
370,469,10
371,470,1
372,471,2
373,472,3
374,473,4
375,474,5
376,475,6
377,476,7
378,477,8
379,478,9
380,479,10
381,480,1
382,481,2
383,482,3
384,483,4
385,484,5
386,485,6
387,486,7
388,487,8
389,488,9
390,489,10
391,490,1
392,491,2
393,492,3
394,493,4
395,494,5
396,495,6
397,496,7
398,497,8
399,498,9
400,499,10
401,500,1
402,501,2
403,502,3
404,503,4
405,504,5
406,505,6
407,506,7
408,507,8
409,508,9
410,509,10
411,510,1
412,511,2
413,512,3
414,513,4
415,514,5
416,515,6
417,516,7
418,517,8
419,518,9
420,519,10
421,520,1
422,521,2
423,522,3
424,523,4
425,524,5
426,525,6
427,526,7
428,527,8
429,528,9
430,529,10
431,530,1
432,531,2
433,532,3
434,533,4
435,534,5
436,535,6
437,536,7
438,537,8
439,538,9
440,539,10
441,540,1
442,541,2
443,542,3
444,543,4
445,544,5
446,545,6
447,546,7
448,547,8
449,548,9
450,549,10
451,550,1
452,551,2
453,552,3
454,553,4
455,554,5
456,555,6
457,556,7
458,557,8
459,558,9
460,559,10
461,560,1
462,561,2
463,562,3
464,563,4
465,564,5
466,565,6
467,566,7
468,567,8
469,568,9
470,569,10
471,570,1
472,571,2
473,572,3
474,573,4
475,574,5
476,575,6
477,576,7
478,577,8
479,578,9
480,579,10
481,580,1
482,581,2
483,582,3
484,583,4
485,584,5
486,585,6
487,586,7
488,587,8
489,588,9
490,589,10
491,590,1
492,591,2
493,592,3
494,593,4
495,594,5
496,595,6
497,596,7
498,597,8
499,598,9
500,599,10
501,600,1
502,601,2
503,602,3
504,603,4
505,604,5
506,605,6
507,606,7
508,607,8
509,608,9
510,609,10
511,610,1
512,611,2
513,612,3
514,613,4
515,614,5
516,615,6
517,616,7
518,617,8
519,618,9
520,619,10
521,620,1
522,621,2
523,622,3
524,623,4
525,624,5
526,625,6
527,626,7
528,627,8
529,628,9
530,629,10
531,630,1
532,631,2
533,632,3
534,633,4
535,634,5
536,635,6
537,636,7
538,637,8
539,638,9
540,639,10
541,640,1
542,641,2
543,642,3
544,643,4
545,644,5
546,645,6
547,646,7
548,647,8
549,648,9
550,649,10
551,650,1
552,651,2
553,652,3
554,653,4
555,654,5
556,655,6
557,656,7
558,657,8
559,658,9
560,659,10
561,660,1
562,661,2
563,662,3
564,663,4
565,664,5
566,665,6
567,666,7
568,667,8
569,668,9
570,669,10
571,670,1
572,671,2
573,672,3
574,673,4
575,674,5
576,675,6
577,676,7
578,677,8
579,678,9
580,679,10
581,680,1
582,681,2
583,682,3
584,683,4
585,684,5
586,685,6
587,686,7
588,687,8
589,688,9
590,689,10
591,690,1
592,691,2
593,692,3
594,693,4
595,694,5
596,695,6
597,696,7
598,697,8
599,698,9
600,699,10
601,700,1
602,701,2
603,702,3
604,703,4
605,704,5
606,705,6
607,706,7
608,707,8
609,708,9
610,709,10
611,710,1
612,711,2
613,712,3
614,713,4
615,714,5
616,715,6
617,716,7
618,717,8
619,718,9
620,719,10
621,720,1
622,721,2
623,722,3
624,723,4
625,724,5
626,725,6
627,726,7
628,727,8
629,728,9
630,729,10
631,730,1
632,731,2
633,732,3
634,733,4
635,734,5
636,735,6
637,736,7
638,737,8
639,738,9
640,739,10
641,740,1
642,741,2
643,742,3
644,743,4
645,744,5
646,745,6
647,746,7
648,747,8
649,748,9
650,749,10
651,750,1
652,751,2
653,752,3
654,753,4
655,754,5
656,755,6
657,756,7
658,757,8
659,758,9
660,759,10
661,760,1
662,761,2
663,762,3
664,763,4
665,764,5
666,765,6
667,766,7
668,767,8
669,768,9
670,769,10
671,770,1
672,771,2
673,772,3
674,773,4
675,774,5
676,775,6
677,776,7
678,777,8
679,778,9
680,779,10
681,780,1
682,781,2
683,782,3
684,783,4
685,784,5
686,785,6
687,786,7
688,787,8
689,788,9
690,789,10
691,790,1
692,791,2
693,792,3
694,793,4
695,794,5
696,795,6
697,796,7
698,797,8
699,798,9
700,799,10
701,800,1
702,801,2
703,802,3
704,803,4
705,804,5
706,805,6
707,806,7
708,807,8
709,808,9
710,809,10
711,810,1
712,811,2
713,812,3
714,813,4
715,814,5
716,815,6
717,816,7
718,817,8
719,818,9
720,819,10
721,820,1
722,821,2
723,822,3
724,823,4
725,824,5
726,825,6
727,826,7
728,827,8
729,828,9
730,829,10
731,830,1
732,831,2
733,832,3
734,833,4
735,834,5
736,835,6
737,836,7
738,837,8
739,838,9
740,839,10
741,840,1
742,841,2
743,842,3
744,843,4
745,844,5
746,845,6
747,846,7
748,847,8
749,848,9
750,849,10
751,850,1
752,851,2
753,852,3
754,853,4
755,854,5
756,855,6
757,856,7
758,857,8
759,858,9
760,859,10
761,860,1
762,861,2
763,862,3
764,863,4
765,864,5
766,865,6
767,866,7
768,867,8
769,868,9
770,869,10
771,870,1
772,871,2
773,872,3
774,873,4
775,874,5
776,875,6
777,876,7
778,877,8
779,878,9
780,879,10
781,880,1
782,881,2
783,882,3
784,883,4
785,884,5
786,885,6
787,886,7
788,887,8
789,888,9
790,889,10
791,890,1
792,891,2
793,892,3
794,893,4
795,894,5
796,895,6
797,896,7
798,897,8
799,898,9
800,899,10
801,900,1
802,901,2
803,902,3
804,903,4
805,904,5
806,905,6
807,906,7
808,907,8
809,908,9
810,909,10
811,910,1
812,911,2
813,912,3
814,913,4
815,914,5
816,915,6
817,916,7
818,917,8
819,918,9
820,919,10
821,920,1
822,921,2
823,922,3
824,923,4
825,924,5
826,925,6
827,926,7
828,927,8
829,928,9
830,929,10
831,930,1
832,931,2
833,932,3
834,933,4
835,934,5
836,935,6
837,936,7
838,937,8
839,938,9
840,939,10
841,940,1
842,941,2
843,942,3
844,943,4
845,944,5
846,945,6
847,946,7
848,947,8
849,948,9
850,949,10
851,950,1
852,951,2
853,952,3
854,953,4
855,954,5
856,955,6
857,956,7
858,957,8
859,958,9
860,959,10
861,960,1
862,961,2
863,962,3
864,963,4
865,964,5
866,965,6
867,966,7
868,967,8
869,968,9
870,969,10
871,970,1
872,971,2
873,972,3
874,973,4
875,974,5
876,975,6
877,976,7
878,977,8
879,978,9
880,979,10
881,980,1
882,981,2
883,982,3
884,983,4
885,984,5
886,985,6
887,986,7
888,987,8
889,988,9
890,989,10
891,990,1
892,991,2
893,992,3
894,993,4
895,994,5
896,995,6
897,996,7
898,997,8
899,998,9
900,999,10
901,1000,1
902,1001,2
903,1002,3
904,1003,4
905,1004,5
906,1005,6
907,1006,7
908,1007,8
909,1008,9
910,1009,10
911,1010,1
912,1011,2
913,1012,3
914,1013,4
915,1014,5
916,1015,6
917,1016,7
918,1017,8
919,1018,9
920,1019,10
921,1020,1
922,1021,2
923,1022,3
924,1023,4
925,1024,5
926,1025,6
927,1026,7
928,1027,8
929,1028,9
930,1029,10
931,1030,1
932,1031,2
933,1032,3
934,1033,4
935,1034,5
936,1035,6
937,1036,7
938,1037,8
939,1038,9
940,1039,10
941,1040,1
942,1041,2
943,1042,3
944,1043,4
945,1044,5
946,1045,6
947,1046,7
948,1047,8
949,1048,9
950,1049,10
951,1050,1
952,1051,2
953,1052,3
954,1053,4
955,1054,5
956,1055,6
957,1056,7
958,1057,8
959,1058,9
960,1059,10
961,1060,1
962,1061,2
963,1062,3
964,1063,4
965,1064,5
966,1065,6
967,1066,7
968,1067,8
969,1068,9
970,1069,10
971,1070,1
972,1071,2
973,1072,3
974,1073,4
975,1074,5
976,1075,6
977,1076,7
978,1077,8
979,1078,9
980,1079,10
981,1080,1
982,1081,2
983,1082,3
984,1083,4
985,1084,5
986,1085,6
987,1086,7
988,1087,8
989,1088,9
990,1089,10
991,1090,1
992,1091,2
993,1092,3
994,1093,4
995,1094,5
996,1095,6
997,1096,7
998,1097,8
999,1098,9
1000,1099,10
1001,100,1
1002,101,2
1003,102,3
1004,103,4
1005,104,5
1006,105,6
1007,106,7
1008,107,8
1009,108,9
1010,109,10
1011,110,1
1012,111,2
1013,112,3
1014,113,4
1015,114,5
1016,115,6
1017,116,7
1018,117,8
1019,118,9
1020,119,10
1021,120,1
1022,121,2
1023,122,3
1024,123,4
1025,124,5
1026,125,6
1027,126,7
1028,127,8
1029,128,9
1030,129,10
1031,130,1
1032,131,2
1033,132,3
1034,133,4
1035,134,5
1036,135,6
1037,136,7
1038,137,8
1039,138,9
1040,139,10
1041,140,1
1042,141,2
1043,142,3
1044,143,4
1045,144,5
1046,145,6
1047,146,7
1048,147,8
1049,148,9
1050,149,10
1051,150,1
1052,151,2
1053,152,3
1054,153,4
1055,154,5
1056,155,6
1057,156,7
1058,157,8
1059,158,9
1060,159,10
1061,160,1
1062,161,2
1063,162,3
1064,163,4
1065,164,5
1066,165,6
1067,166,7
1068,167,8
1069,168,9
1070,169,10
1071,170,1
1072,171,2
1073,172,3
1074,173,4
1075,174,5
1076,175,6
1077,176,7
1078,177,8
1079,178,9
1080,179,10
1081,180,1
1082,181,2
1083,182,3
1084,183,4
1085,184,5
1086,185,6
1087,186,7
1088,187,8
1089,188,9
1090,189,10
1091,190,1
1092,191,2
1093,192,3
1094,193,4
1095,194,5
1096,195,6
1097,196,7
1098,197,8
1099,198,9
1100,199,10
1101,200,1
1102,201,2
1103,202,3
1104,203,4
1105,204,5
1106,205,6
1107,206,7
1108,207,8
1109,208,9
1110,209,10
1111,210,1
1112,211,2
1113,212,3
1114,213,4
1115,214,5
1116,215,6
1117,216,7
1118,217,8
1119,218,9
1120,219,10
1121,220,1
1122,221,2
1123,222,3
1124,223,4
1125,224,5
1126,225,6
1127,226,7
1128,227,8
1129,228,9
1130,229,10
1131,230,1
1132,231,2
1133,232,3
1134,233,4
1135,234,5
1136,235,6
1137,236,7
1138,237,8
1139,238,9
1140,239,10
1141,240,1
1142,241,2
1143,242,3
1144,243,4
1145,244,5
1146,245,6
1147,246,7
1148,247,8
1149,248,9
1150,249,10
1151,250,1
1152,251,2
1153,252,3
1154,253,4
1155,254,5
1156,255,6
1157,256,7
1158,257,8
1159,258,9
1160,259,10
1161,260,1
1162,261,2
1163,262,3
1164,263,4
1165,264,5
1166,265,6
1167,266,7
1168,267,8
1169,268,9
1170,269,10
1171,270,1
1172,271,2
1173,272,3
1174,273,4
1175,274,5
1176,275,6
1177,276,7
1178,277,8
1179,278,9
1180,279,10
1181,280,1
1182,281,2
1183,282,3
1184,283,4
1185,284,5
1186,285,6
1187,286,7
1188,287,8
1189,288,9
1190,289,10
1191,290,1
1192,291,2
1193,292,3
1194,293,4
1195,294,5
1196,295,6
1197,296,7
1198,297,8
1199,298,9
1200,299,10
1201,300,1
1202,301,2
1203,302,3
1204,303,4
1205,304,5
1206,305,6
1207,306,7
1208,307,8
1209,308,9
1210,309,10
1211,310,1
1212,311,2
1213,312,3
1214,313,4
1215,314,5
1216,315,6
1217,316,7
1218,317,8
1219,318,9
1220,319,10
1221,320,1
1222,321,2
1223,322,3
1224,323,4
1225,324,5
1226,325,6
1227,326,7
1228,327,8
1229,328,9
1230,329,10
1231,330,1
1232,331,2
1233,332,3
1234,333,4
1235,334,5
1236,335,6
1237,336,7
1238,337,8
1239,338,9
1240,339,10
1241,340,1
1242,341,2
1243,342,3
1244,343,4
1245,344,5
1246,345,6
1247,346,7
1248,347,8
1249,348,9
1250,349,10
1251,350,1
1252,351,2
1253,352,3
1254,353,4
1255,354,5
1256,355,6
1257,356,7
1258,357,8
1259,358,9
1260,359,10
1261,360,1
1262,361,2
1263,362,3
1264,363,4
1265,364,5
1266,365,6
1267,366,7
1268,367,8
1269,368,9
1270,369,10
1271,370,1
1272,371,2
1273,372,3
1274,373,4
1275,374,5
1276,375,6
1277,376,7
1278,377,8
1279,378,9
1280,379,10
1281,380,1
1282,381,2
1283,382,3
1284,383,4
1285,384,5
1286,385,6
1287,386,7
1288,387,8
1289,388,9
1290,389,10
1291,390,1
1292,391,2
1293,392,3
1294,393,4
1295,394,5
1296,395,6
1297,396,7
1298,397,8
1299,398,9
1300,399,10
1301,400,1
1302,401,2
1303,402,3
1304,403,4
1305,404,5
1306,405,6
1307,406,7
1308,407,8
1309,408,9
1310,409,10
1311,410,1
1312,411,2
1313,412,3
1314,413,4
1315,414,5
1316,415,6
1317,416,7
1318,417,8
1319,418,9
1320,419,10
1321,420,1
1322,421,2
1323,422,3
1324,423,4
1325,424,5
1326,425,6
1327,426,7
1328,427,8
1329,428,9
1330,429,10
1331,430,1
1332,431,2
1333,432,3
1334,433,4
1335,434,5
1336,435,6
1337,436,7
1338,437,8
1339,438,9
1340,439,10
1341,440,1
1342,441,2
1343,442,3
1344,443,4
1345,444,5
1346,445,6
1347,446,7
1348,447,8
1349,448,9
1350,449,10
1351,450,1
1352,451,2
1353,452,3
1354,453,4
1355,454,5
1356,455,6
1357,456,7
1358,457,8
1359,458,9
1360,459,10
1361,460,1
1362,461,2
1363,462,3
1364,463,4
1365,464,5
1366,465,6
1367,466,7
1368,467,8
1369,468,9
1370,469,10
1371,470,1
1372,471,2
1373,472,3
1374,473,4
1375,474,5
1376,475,6
1377,476,7
1378,477,8
1379,478,9
1380,479,10
1381,480,1
1382,481,2
1383,482,3
1384,483,4
1385,484,5
1386,485,6
1387,486,7
1388,487,8
1389,488,9
1390,489,10
1391,490,1
1392,491,2
1393,492,3
1394,493,4
1395,494,5
1396,495,6
1397,496,7
1398,497,8
1399,498,9
1400,499,10
1401,500,1
1402,501,2
1403,502,3
1404,503,4
1405,504,5
1406,505,6
1407,506,7
1408,507,8
1409,508,9
1410,509,10
1411,510,1
1412,511,2
1413,512,3
1414,513,4
1415,514,5
1416,515,6
1417,516,7
1418,517,8
1419,518,9
1420,519,10
1421,520,1
1422,521,2
1423,522,3
1424,523,4
1425,524,5
1426,525,6
1427,526,7
1428,527,8
1429,528,9
1430,529,10
1431,530,1
1432,531,2
1433,532,3
1434,533,4
1435,534,5
1436,535,6
1437,536,7
1438,537,8
1439,538,9
1440,539,10
1441,540,1
1442,541,2
1443,542,3
1444,543,4
1445,544,5
1446,545,6
1447,546,7
1448,547,8
1449,548,9
1450,549,10
1451,550,1
1452,551,2
1453,552,3
1454,553,4
1455,554,5
1456,555,6
1457,556,7
1458,557,8
1459,558,9
1460,559,10
1461,560,1
1462,561,2
1463,562,3
1464,563,4
1465,564,5
1466,565,6
1467,566,7
1468,567,8
1469,568,9
1470,569,10
1471,570,1
1472,571,2
1473,572,3
1474,573,4
1475,574,5
1476,575,6
1477,576,7
1478,577,8
1479,578,9
1480,579,10
1481,580,1
1482,581,2
1483,582,3
1484,583,4
1485,584,5
1486,585,6
1487,586,7
1488,587,8
1489,588,9
1490,589,10
1491,590,1
1492,591,2
1493,592,3
1494,593,4
1495,594,5
1496,595,6
1497,596,7
1498,597,8
1499,598,9
1500,599,10
1501,600,1
1502,601,2
1503,602,3
1504,603,4
1505,604,5
1506,605,6
1507,606,7
1508,607,8
1509,608,9
1510,609,10
1511,610,1
1512,611,2
1513,612,3
1514,613,4
1515,614,5
1516,615,6
1517,616,7
1518,617,8
1519,618,9
1520,619,10
1521,620,1
1522,621,2
1523,622,3
1524,623,4
1525,624,5
1526,625,6
1527,626,7
1528,627,8
1529,628,9
1530,629,10
1531,630,1
1532,631,2
1533,632,3
1534,633,4
1535,634,5
1536,635,6
1537,636,7
1538,637,8
1539,638,9
1540,639,10
1541,640,1
1542,641,2
1543,642,3
1544,643,4
1545,644,5
1546,645,6
1547,646,7
1548,647,8
1549,648,9
1550,649,10
1551,650,1
1552,651,2
1553,652,3
1554,653,4
1555,654,5
1556,655,6
1557,656,7
1558,657,8
1559,658,9
1560,659,10
1561,660,1
1562,661,2
1563,662,3
1564,663,4
1565,664,5
1566,665,6
1567,666,7
1568,667,8
1569,668,9
1570,669,10
1571,670,1
1572,671,2
1573,672,3
1574,673,4
1575,674,5
1576,675,6
1577,676,7
1578,677,8
1579,678,9
1580,679,10
1581,680,1
1582,681,2
1583,682,3
1584,683,4
1585,684,5
1586,685,6
1587,686,7
1588,687,8
1589,688,9
1590,689,10
1591,690,1
1592,691,2
1593,692,3
1594,693,4
1595,694,5
1596,695,6
1597,696,7
1598,697,8
1599,698,9
1600,699,10
1601,700,1
1602,701,2
1603,702,3
1604,703,4
1605,704,5
1606,705,6
1607,706,7
1608,707,8
1609,708,9
1610,709,10
1611,710,1
1612,711,2
1613,712,3
1614,713,4
1615,714,5
1616,715,6
1617,716,7
1618,717,8
1619,718,9
1620,719,10
1621,720,1
1622,721,2
1623,722,3
1624,723,4
1625,724,5
1626,725,6
1627,726,7
1628,727,8
1629,728,9
1630,729,10
1631,730,1
1632,731,2
1633,732,3
1634,733,4
1635,734,5
1636,735,6
1637,736,7
1638,737,8
1639,738,9
1640,739,10
1641,740,1
1642,741,2
1643,742,3
1644,743,4
1645,744,5
1646,745,6
1647,746,7
1648,747,8
1649,748,9
1650,749,10
1651,750,1
1652,751,2
1653,752,3
1654,753,4
1655,754,5
1656,755,6
1657,756,7
1658,757,8
1659,758,9
1660,759,10
1661,760,1
1662,761,2
1663,762,3
1664,763,4
1665,764,5
1666,765,6
1667,766,7
1668,767,8
1669,768,9
1670,769,10
1671,770,1
1672,771,2
1673,772,3
1674,773,4
1675,774,5
1676,775,6
1677,776,7
1678,777,8
1679,778,9
1680,779,10
1681,780,1
1682,781,2
1683,782,3
1684,783,4
1685,784,5
1686,785,6
1687,786,7
1688,787,8
1689,788,9
1690,789,10
1691,790,1
1692,791,2
1693,792,3
1694,793,4
1695,794,5
1696,795,6
1697,796,7
1698,797,8
1699,798,9
1700,799,10
1701,800,1
1702,801,2
1703,802,3
1704,803,4
1705,804,5
1706,805,6
1707,806,7
1708,807,8
1709,808,9
1710,809,10
1711,810,1
1712,811,2
1713,812,3
1714,813,4
1715,814,5
1716,815,6
1717,816,7
1718,817,8
1719,818,9
1720,819,10
1721,820,1
1722,821,2
1723,822,3
1724,823,4
1725,824,5
1726,825,6
1727,826,7
1728,827,8
1729,828,9
1730,829,10
1731,830,1
1732,831,2
1733,832,3
1734,833,4
1735,834,5
1736,835,6
1737,836,7
1738,837,8
1739,838,9
1740,839,10
1741,840,1
1742,841,2
1743,842,3
1744,843,4
1745,844,5
1746,845,6
1747,846,7
1748,847,8
1749,848,9
1750,849,10
1751,850,1
1752,851,2
1753,852,3
1754,853,4
1755,854,5
1756,855,6
1757,856,7
1758,857,8
1759,858,9
1760,859,10
1761,860,1
1762,861,2
1763,862,3
1764,863,4
1765,864,5
1766,865,6
1767,866,7
1768,867,8
1769,868,9
1770,869,10
1771,870,1
1772,871,2
1773,872,3
1774,873,4
1775,874,5
1776,875,6
1777,876,7
1778,877,8
1779,878,9
1780,879,10
1781,880,1
1782,881,2
1783,882,3
1784,883,4
1785,884,5
1786,885,6
1787,886,7
1788,887,8
1789,888,9
1790,889,10
1791,890,1
1792,891,2
1793,892,3
1794,893,4
1795,894,5
1796,895,6
1797,896,7
1798,897,8
1799,898,9
1800,899,10
1801,900,1
1802,901,2
1803,902,3
1804,903,4
1805,904,5
1806,905,6
1807,906,7
1808,907,8
1809,908,9
1810,909,10
1811,910,1
1812,911,2
1813,912,3
1814,913,4
1815,914,5
1816,915,6
1817,916,7
1818,917,8
1819,918,9
1820,919,10
1821,920,1
1822,921,2
1823,922,3
1824,923,4
1825,924,5
1826,925,6
1827,926,7
1828,927,8
1829,928,9
1830,929,10
1831,930,1
1832,931,2
1833,932,3
1834,933,4
1835,934,5
1836,935,6
1837,936,7
1838,937,8
1839,938,9
1840,939,10
1841,940,1
1842,941,2
1843,942,3
1844,943,4
1845,944,5
1846,945,6
1847,946,7
1848,947,8
1849,948,9
1850,949,10
1851,950,1
1852,951,2
1853,952,3
1854,953,4
1855,954,5
1856,955,6
1857,956,7
1858,957,8
1859,958,9
1860,959,10
1861,960,1
1862,961,2
1863,962,3
1864,963,4
1865,964,5
1866,965,6
1867,966,7
1868,967,8
1869,968,9
1870,969,10
1871,970,1
1872,971,2
1873,972,3
1874,973,4
1875,974,5
1876,975,6
1877,976,7
1878,977,8
1879,978,9
1880,979,10
1881,980,1
1882,981,2
1883,982,3
1884,983,4
1885,984,5
1886,985,6
1887,986,7
1888,987,8
1889,988,9
1890,989,10
1891,990,1
1892,991,2
1893,992,3
1894,993,4
1895,994,5
1896,995,6
1897,996,7
1898,997,8
1899,998,9
1900,999,10
1901,1000,1
1902,1001,2
1903,1002,3
1904,1003,4
1905,1004,5
1906,1005,6
1907,1006,7
1908,1007,8
1909,1008,9
1910,1009,10
1911,1010,1
1912,1011,2
1913,1012,3
1914,1013,4
1915,1014,5
1916,1015,6
1917,1016,7
1918,1017,8
1919,1018,9
1920,1019,10
1921,1020,1
1922,1021,2
1923,1022,3
1924,1023,4
1925,1024,5
1926,1025,6
1927,1026,7
1928,1027,8
1929,1028,9
1930,1029,10
1931,1030,1
1932,1031,2
1933,1032,3
1934,1033,4
1935,1034,5
1936,1035,6
1937,1036,7
1938,1037,8
1939,1038,9
1940,1039,10
1941,1040,1
1942,1041,2
1943,1042,3
1944,1043,4
1945,1044,5
1946,1045,6
1947,1046,7
1948,1047,8
1949,1048,9
1950,1049,10
1951,1050,1
1952,1051,2
1953,1052,3
1954,1053,4
1955,1054,5
1956,1055,6
1957,1056,7
1958,1057,8
1959,1058,9
1960,1059,10
1961,1060,1
1962,1061,2
1963,1062,3
1964,1063,4
1965,1064,5
1966,1065,6
1967,1066,7
1968,1067,8
1969,1068,9
1970,1069,10
1971,1070,1
1972,1071,2
1973,1072,3
1974,1073,4
1975,1074,5
1976,1075,6
1977,1076,7
1978,1077,8
1979,1078,9
1980,1079,10
1981,1080,1
1982,1081,2
1983,1082,3
1984,1083,4
1985,1084,5
1986,1085,6
1987,1086,7
1988,1087,8
1989,1088,9
1990,1089,10
1991,1090,1
1992,1091,2
1993,1092,3
1994,1093,4
1995,1094,5
1996,1095,6
1997,1096,7
1998,1097,8
1999,1098,9
2000,1099,10
2001,100,1
2002,101,2
2003,102,3
2004,103,4
2005,104,5
2006,105,6
2007,106,7
2008,107,8
2009,108,9
2010,109,10
2011,110,1
2012,111,2
2013,112,3
2014,113,4
2015,114,5
2016,115,6
2017,116,7
2018,117,8
2019,118,9
2020,119,10
2021,120,1
2022,121,2
2023,122,3
2024,123,4
2025,124,5
2026,125,6
2027,126,7
2028,127,8
2029,128,9
2030,129,10
2031,130,1
2032,131,2
2033,132,3
2034,133,4
2035,134,5
2036,135,6
2037,136,7
2038,137,8
2039,138,9
2040,139,10
2041,140,1
2042,141,2
2043,142,3
2044,143,4
2045,144,5
2046,145,6
2047,146,7
2048,147,8
2049,148,9
2050,149,10
2051,150,1
2052,151,2
2053,152,3
2054,153,4
2055,154,5
2056,155,6
2057,156,7
2058,157,8
2059,158,9
2060,159,10
2061,160,1
2062,161,2
2063,162,3
2064,163,4
2065,164,5
2066,165,6
2067,166,7
2068,167,8
2069,168,9
2070,169,10
2071,170,1
2072,171,2
2073,172,3
2074,173,4
2075,174,5
2076,175,6
2077,176,7
2078,177,8
2079,178,9
2080,179,10
2081,180,1
2082,181,2
2083,182,3
2084,183,4
2085,184,5
2086,185,6
2087,186,7
2088,187,8
2089,188,9
2090,189,10
2091,190,1
2092,191,2
2093,192,3
2094,193,4
2095,194,5
2096,195,6
2097,196,7
2098,197,8
2099,198,9
2100,199,10
2101,200,1
2102,201,2
2103,202,3
2104,203,4
2105,204,5
2106,205,6
2107,206,7
2108,207,8
2109,208,9
